iter	MultiClass	Accuracy
0	0.6786874858	0.75
1	0.6535064862	0.95
2	0.6355057005	1
3	0.6060454449	1
4	0.5730326003	1
5	0.5572746045	1
6	0.53836524	1
7	0.5130556704	1
8	0.4896892265	1
9	0.4749599048	1
10	0.4635517394	1
11	0.4422066768	1
12	0.4303164236	1
13	0.4243447009	1
14	0.4183836191	1
15	0.4031214248	1
16	0.3935298771	1
17	0.3803416595	1
18	0.3745201231	1
19	0.3636025758	1
20	0.3503555612	1
21	0.3391205958	1
22	0.3278420481	1
23	0.3205478129	1
24	0.3091779616	1
25	0.3015741229	1
26	0.2948172345	1
27	0.2863521941	1
28	0.2824462414	1
29	0.274810319	1
30	0.2662358176	1
31	0.2627769434	1
32	0.2552387636	1
33	0.2461697719	1
34	0.2389936317	1
35	0.2332885407	1
36	0.2277333084	1
37	0.2185838998	1
38	0.2134101529	1
39	0.2096141234	1
40	0.206209284	1
41	0.1989371932	1
42	0.1946082693	1
43	0.1879520161	1
44	0.1853703452	1
45	0.1802967133	1
46	0.1757109714	1
47	0.1720460514	1
48	0.1685508954	1
49	0.1648669122	1
50	0.1609463731	1
51	0.157049359	1
52	0.1549100037	1
53	0.1521799307	1
54	0.1485514138	1
55	0.1464685873	1
56	0.1421123064	1
57	0.1399201134	1
58	0.1369120848	1
59	0.1340427978	1
60	0.1309679877	1
61	0.1290746759	1
62	0.1269176777	1
63	0.1239316861	1
64	0.1216372543	1
65	0.1196732695	1
66	0.1184451821	1
67	0.1151475482	1
68	0.1135727949	1
69	0.1113140265	1
70	0.1085921505	1
71	0.1073645523	1
72	0.1057857292	1
73	0.103882827	1
74	0.1021574239	1
75	0.1002848846	1
76	0.09888100222	1
77	0.09672323992	1
78	0.09391741156	1
79	0.09214773912	1
80	0.09003456602	1
81	0.08873137017	1
82	0.08704760376	1
83	0.08563525588	1
84	0.08435211214	1
85	0.08285925015	1
86	0.08177806532	1
87	0.08031840686	1
88	0.07908233919	1
89	0.07808540506	1
90	0.07679502307	1
91	0.07509720449	1
92	0.07408810052	1
93	0.0731917584	1
94	0.0721334097	1
95	0.07125558342	1
96	0.07030890804	1
97	0.06935445629	1
98	0.06840869958	1
99	0.06739263207	1
